"logdate","log"
"2024-09-27 13:22:47.0 IST","CALENDAR_TD_ISO_COMPATIBLE 1 out of  15 columns processed."
"2024-09-27 13:22:50.0 IST","CALENDAR_TD_ISO_COMPATIBLE 2 out of  15 columns processed."
"2024-09-27 13:22:50.0 IST","CALENDAR_TD_ISO_COMPATIBLE 3 out of  15 columns processed."
"2024-09-27 13:22:50.0 IST","CALENDAR_TD_ISO_COMPATIBLE 4 out of  15 columns processed."
"2024-09-27 13:22:51.0 IST","CALENDAR_TD_ISO_COMPATIBLE 5 out of  15 columns processed."
"2024-09-27 13:22:51.0 IST","CALENDAR_TD_ISO_COMPATIBLE 6 out of  15 columns processed."
"2024-09-27 13:22:52.0 IST","CALENDAR_TD_ISO_COMPATIBLE 7 out of  15 columns processed."
"2024-09-27 13:22:52.0 IST","CALENDAR_TD_ISO_COMPATIBLE 8 out of  15 columns processed."
"2024-09-27 13:22:52.0 IST","CALENDAR_TD_ISO_COMPATIBLE 9 out of  15 columns processed."
"2024-09-27 13:22:53.0 IST","CALENDAR_TD_ISO_COMPATIBLE 10 out of  15 columns processed."
"2024-09-27 13:22:54.0 IST","CALENDAR_TD_ISO_COMPATIBLE 11 out of  15 columns processed."
"2024-09-27 13:22:54.0 IST","CALENDAR_TD_ISO_COMPATIBLE 12 out of  15 columns processed."
"2024-09-27 13:22:55.0 IST","CALENDAR_TD_ISO_COMPATIBLE 13 out of  15 columns processed."
"2024-09-27 13:22:55.0 IST","CALENDAR_TD_ISO_COMPATIBLE 14 out of  15 columns processed."
"2024-09-27 13:22:55.0 IST","CALENDAR_TD_ISO_COMPATIBLE 15 out of  15 columns processed."
"2024-09-27 13:22:56.0 IST","Column Relations count : 0"
"2024-09-27 13:22:56.0 IST","Table CALENDAR_TD_ISO_COMPATIBLE profiled successfully, took : 11 secs. 13 table out of 15 tables completed."
"2024-09-27 13:22:56.0 IST","Started profiling table : CALBASICS"
"2024-09-27 13:22:56.0 IST","Table: CALBASICS rowcount updated, count : 73414"
"2024-09-27 13:22:58.0 IST","CALBASICS 1 out of  6 columns processed."
"2024-09-27 13:23:01.0 IST","CALBASICS 2 out of  6 columns processed."
"2024-09-27 13:23:01.0 IST","CALBASICS 3 out of  6 columns processed."
"2024-09-27 13:23:02.0 IST","CALBASICS 4 out of  6 columns processed."
"2024-09-27 13:23:02.0 IST","CALBASICS 5 out of  6 columns processed."
"2024-09-27 13:23:03.0 IST","CALBASICS 6 out of  6 columns processed."
"2024-09-27 13:23:03.0 IST","Column Relations count : 0"
"2024-09-27 13:23:03.0 IST","Table CALBASICS profiled successfully, took : 7 secs. 14 table out of 15 tables completed."
"2024-09-27 13:23:03.0 IST","Started profiling table : TeradataTmp"
"2024-09-27 13:23:04.0 IST","Table: TeradataTmp rowcount updated, count : 73414"
"2024-09-27 13:23:07.0 IST","TeradataTmp 1 out of  25 columns processed."
"2024-09-27 13:23:11.0 IST","TeradataTmp 2 out of  25 columns processed."
"2024-09-27 13:23:12.0 IST","TeradataTmp 3 out of  25 columns processed."
"2024-09-27 13:23:13.0 IST","TeradataTmp 4 out of  25 columns processed."
"2024-09-27 13:23:14.0 IST","TeradataTmp 5 out of  25 columns processed."
"2024-09-27 13:23:16.0 IST","TeradataTmp 6 out of  25 columns processed."
"2024-09-27 13:23:17.0 IST","TeradataTmp 7 out of  25 columns processed."
"2024-09-27 13:23:18.0 IST","TeradataTmp 8 out of  25 columns processed."
"2024-09-27 13:23:19.0 IST","TeradataTmp 9 out of  25 columns processed."
"2024-09-27 13:23:20.0 IST","TeradataTmp 10 out of  25 columns processed."
"2024-09-27 13:23:22.0 IST","TeradataTmp 11 out of  25 columns processed."
"2024-09-27 13:23:23.0 IST","TeradataTmp 12 out of  25 columns processed."
"2024-09-27 13:23:24.0 IST","TeradataTmp 13 out of  25 columns processed."
"2024-09-27 13:23:26.0 IST","TeradataTmp 14 out of  25 columns processed."
"2024-09-27 13:23:28.0 IST","TeradataTmp 15 out of  25 columns processed."
"2024-09-27 13:23:30.0 IST","TeradataTmp 16 out of  25 columns processed."
"2024-09-27 13:23:31.0 IST","TeradataTmp 17 out of  25 columns processed."
"2024-09-27 13:23:32.0 IST","TeradataTmp 18 out of  25 columns processed."
"2024-09-27 13:23:33.0 IST","TeradataTmp 19 out of  25 columns processed."
"2024-09-27 13:23:38.0 IST","TeradataTmp 20 out of  25 columns processed."
"2024-09-27 13:23:39.0 IST","TeradataTmp 21 out of  25 columns processed."
"2024-09-27 13:23:43.0 IST","TeradataTmp 22 out of  25 columns processed."
"2024-09-27 13:23:44.0 IST","TeradataTmp 23 out of  25 columns processed."
"2024-09-27 13:23:46.0 IST","TeradataTmp 24 out of  25 columns processed."
"2024-09-27 13:23:47.0 IST","TeradataTmp 25 out of  25 columns processed."
"2024-09-27 13:23:48.0 IST","Column Relations count : 0"
"2024-09-27 13:23:48.0 IST","Table TeradataTmp profiled successfully, took : 44 secs. 15 table out of 15 tables completed."
"2024-09-27 13:23:48.0 IST","Thread 1 completed successfully in 1462 seconds."
