"logdate","log"
"2024-09-27 13:05:53.0 IST","BusinessCalendar 30 out of  33 columns processed and took 8 seconds to complete."
"2024-09-27 13:05:59.0 IST","BusinessCalendar 31 out of  33 columns processed."
"2024-09-27 13:06:05.0 IST","BusinessCalendar 32 out of  33 columns processed."
"2024-09-27 13:06:10.0 IST","BusinessCalendar 33 out of  33 columns processed."
"2024-09-27 13:06:11.0 IST","Column Relations count : 0"
"2024-09-27 13:06:11.0 IST","Table BusinessCalendar profiled successfully, took : 389 secs. 3 table out of 15 tables completed."
"2024-09-27 13:06:11.0 IST","Started profiling table : CALENDAR"
"2024-09-27 13:06:11.0 IST","Table: CALENDAR rowcount updated, count : 73414"
"2024-09-27 13:06:13.0 IST","CALENDAR 1 out of  15 columns processed."
"2024-09-27 13:06:16.0 IST","CALENDAR 2 out of  15 columns processed."
"2024-09-27 13:06:17.0 IST","CALENDAR 3 out of  15 columns processed."
"2024-09-27 13:06:17.0 IST","CALENDAR 4 out of  15 columns processed."
"2024-09-27 13:06:18.0 IST","CALENDAR 5 out of  15 columns processed."
"2024-09-27 13:06:18.0 IST","CALENDAR 6 out of  15 columns processed."
"2024-09-27 13:06:19.0 IST","CALENDAR 7 out of  15 columns processed."
"2024-09-27 13:06:19.0 IST","CALENDAR 8 out of  15 columns processed."
"2024-09-27 13:06:20.0 IST","CALENDAR 9 out of  15 columns processed."
"2024-09-27 13:06:20.0 IST","CALENDAR 10 out of  15 columns processed."
"2024-09-27 13:06:21.0 IST","CALENDAR 11 out of  15 columns processed."
"2024-09-27 13:06:21.0 IST","CALENDAR 12 out of  15 columns processed."
"2024-09-27 13:06:22.0 IST","CALENDAR 13 out of  15 columns processed."
"2024-09-27 13:06:22.0 IST","CALENDAR 14 out of  15 columns processed."
"2024-09-27 13:06:23.0 IST","CALENDAR 15 out of  15 columns processed."
"2024-09-27 13:06:23.0 IST","Column Relations count : 0"
"2024-09-27 13:06:23.0 IST","Table CALENDAR profiled successfully, took : 12 secs. 4 table out of 15 tables completed."
"2024-09-27 13:06:23.0 IST","Started profiling table : CompatibleTmp"
"2024-09-27 13:06:23.0 IST","Table: CompatibleTmp rowcount updated, count : 73414"
"2024-09-27 13:06:26.0 IST","CompatibleTmp 1 out of  25 columns processed."
"2024-09-27 13:06:30.0 IST","CompatibleTmp 2 out of  25 columns processed."
"2024-09-27 13:06:31.0 IST","CompatibleTmp 3 out of  25 columns processed."
"2024-09-27 13:06:32.0 IST","CompatibleTmp 4 out of  25 columns processed."
"2024-09-27 13:06:33.0 IST","CompatibleTmp 5 out of  25 columns processed."
"2024-09-27 13:06:34.0 IST","CompatibleTmp 6 out of  25 columns processed."
"2024-09-27 13:06:34.0 IST","CompatibleTmp 7 out of  25 columns processed."
"2024-09-27 13:06:35.0 IST","CompatibleTmp 8 out of  25 columns processed."
"2024-09-27 13:06:36.0 IST","CompatibleTmp 9 out of  25 columns processed."
"2024-09-27 13:06:37.0 IST","CompatibleTmp 10 out of  25 columns processed."
"2024-09-27 13:06:38.0 IST","CompatibleTmp 11 out of  25 columns processed."
"2024-09-27 13:06:39.0 IST","CompatibleTmp 12 out of  25 columns processed."
"2024-09-27 13:06:40.0 IST","CompatibleTmp 13 out of  25 columns processed."
"2024-09-27 13:06:41.0 IST","CompatibleTmp 14 out of  25 columns processed."
"2024-09-27 13:06:43.0 IST","CompatibleTmp 15 out of  25 columns processed."
"2024-09-27 13:06:44.0 IST","CompatibleTmp 16 out of  25 columns processed."
"2024-09-27 13:06:45.0 IST","CompatibleTmp 17 out of  25 columns processed."
"2024-09-27 13:06:46.0 IST","CompatibleTmp 18 out of  25 columns processed."
"2024-09-27 13:06:47.0 IST","CompatibleTmp 19 out of  25 columns processed."
"2024-09-27 13:06:48.0 IST","CompatibleTmp 20 out of  25 columns processed."
"2024-09-27 13:06:49.0 IST","CompatibleTmp 21 out of  25 columns processed."
"2024-09-27 13:06:51.0 IST","CompatibleTmp 22 out of  25 columns processed."
"2024-09-27 13:06:52.0 IST","CompatibleTmp 23 out of  25 columns processed."
"2024-09-27 13:06:53.0 IST","CompatibleTmp 24 out of  25 columns processed."
"2024-09-27 13:06:54.0 IST","CompatibleTmp 25 out of  25 columns processed."
"2024-09-27 13:06:54.0 IST","Column Relations count : 0"
"2024-09-27 13:06:54.0 IST","Table CompatibleTmp profiled successfully, took : 31 secs. 5 table out of 15 tables completed."
"2024-09-27 13:06:54.0 IST","Started profiling table : BusinessCalendarPatterns"
"2024-09-27 13:06:54.0 IST","Table: BusinessCalendarPatterns rowcount updated, count : 21"
"2024-09-27 13:06:55.0 IST","BusinessCalendarPatterns 1 out of  6 columns processed."
"2024-09-27 13:06:55.0 IST","BusinessCalendarPatterns 2 out of  6 columns processed."
"2024-09-27 13:06:55.0 IST","BusinessCalendarPatterns 3 out of  6 columns processed."
"2024-09-27 13:06:56.0 IST","BusinessCalendarPatterns 4 out of  6 columns processed."
"2024-09-27 13:06:56.0 IST","BusinessCalendarPatterns 5 out of  6 columns processed."
"2024-09-27 13:06:56.0 IST","BusinessCalendarPatterns 6 out of  6 columns processed."
"2024-09-27 13:06:57.0 IST","Column Relations count : 0"
"2024-09-27 13:06:57.0 IST","Table BusinessCalendarPatterns profiled successfully, took : 2 secs. 6 table out of 15 tables completed."
"2024-09-27 13:06:57.0 IST","Started profiling table : CALENDARTMP"
"2024-09-27 13:06:57.0 IST","Table: CALENDARTMP rowcount updated, count : 73414"
"2024-09-27 13:06:59.0 IST","CALENDARTMP 1 out of  15 columns processed."
"2024-09-27 13:07:02.0 IST","CALENDARTMP 2 out of  15 columns processed."
"2024-09-27 13:07:03.0 IST","CALENDARTMP 3 out of  15 columns processed."
"2024-09-27 13:07:03.0 IST","CALENDARTMP 4 out of  15 columns processed."
"2024-09-27 13:07:04.0 IST","CALENDARTMP 5 out of  15 columns processed."
"2024-09-27 13:07:04.0 IST","CALENDARTMP 6 out of  15 columns processed."
"2024-09-27 13:07:05.0 IST","CALENDARTMP 7 out of  15 columns processed."
"2024-09-27 13:07:05.0 IST","CALENDARTMP 8 out of  15 columns processed."
"2024-09-27 13:07:06.0 IST","CALENDARTMP 9 out of  15 columns processed."
"2024-09-27 13:07:06.0 IST","CALENDARTMP 10 out of  15 columns processed."
"2024-09-27 13:07:07.0 IST","CALENDARTMP 11 out of  15 columns processed."
"2024-09-27 13:07:07.0 IST","CALENDARTMP 12 out of  15 columns processed."
"2024-09-27 13:07:08.0 IST","CALENDARTMP 13 out of  15 columns processed."
"2024-09-27 13:07:08.0 IST","CALENDARTMP 14 out of  15 columns processed."
"2024-09-27 13:07:09.0 IST","CALENDARTMP 15 out of  15 columns processed."
"2024-09-27 13:07:09.0 IST","Column Relations count : 0"
"2024-09-27 13:07:09.0 IST","Table CALENDARTMP profiled successfully, took : 12 secs. 7 table out of 15 tables completed."
"2024-09-27 13:07:09.0 IST","Started profiling table : ISOBCal"
"2024-09-27 13:07:10.0 IST","Table: ISOBCal rowcount updated, count : 73414"
"2024-09-27 13:07:21.0 IST","ISOBCal 1 out of  33 columns processed."
"2024-09-27 13:07:21.0 IST","ISOBCal 1 out of  33 columns processed and took 10 seconds to complete."
"2024-09-27 13:07:31.0 IST","ISOBCal 2 out of  33 columns processed."
"2024-09-27 13:07:31.0 IST","ISOBCal 2 out of  33 columns processed and took 10 seconds to complete."
"2024-09-27 13:07:50.0 IST","ISOBCal 3 out of  33 columns processed."
"2024-09-27 13:07:50.0 IST","ISOBCal 3 out of  33 columns processed and took 19 seconds to complete."
"2024-09-27 13:08:11.0 IST","ISOBCal 4 out of  33 columns processed."
"2024-09-27 13:08:11.0 IST","ISOBCal 4 out of  33 columns processed and took 20 seconds to complete."
"2024-09-27 13:08:17.0 IST","ISOBCal 5 out of  33 columns processed."
"2024-09-27 13:08:17.0 IST","ISOBCal 5 out of  33 columns processed and took 6 seconds to complete."
"2024-09-27 13:08:24.0 IST","ISOBCal 6 out of  33 columns processed."
